N	e_T	e_S	e_G
2	8.1976706869326454e-02	1.0000000000000000e+00	2.2432318444899027e-04
10	1.0285949579701638e-03	1.0000000000000000e+00	7.0251244055033745e-11
20	2.3082960179909807e-04	1.0000000000000000e+00	3.7846466927397007e-11
40	5.4787915979857517e-05	1.0000000000000000e+00	5.1107413412608240e-11
80	1.3352525363787112e-05	1.0000000000000000e+00	9.2902042935129375e-10
160	3.2962809384507683e-06	1.0000000000000000e+00	6.9466209652361694e-10
