N	e_T	e_S	e_G
3	3.3846152325418566e+03	3.5385432939609650e+03	2.3417997310885557e+03
11	6.3076596562121843e+01	3.9868348365169089e+02	5.4408783082779098e+02
21	1.6083416762556473e+02	1.9342002464671239e+02	3.2167224663741951e+02
41	1.8237145919961401e+02	1.8955055639096364e+02	1.7197672330774036e+01
81	1.8760477907928342e+02	1.8934921903917299e+02	1.4072905294353779e+02
161	1.8890406245724608e+02	1.8933715691656687e+02	9.6277512121827712e+01
