N	e_T	e_S	e_G
3	2.0747041268399168e-02	3.3715273475667972e-04	4.7959916391996763e-07
11	8.3319447750494692e-04	5.5489487356356099e-07	6.8388111195212011e-11
21	2.0832465329463613e-04	3.4711890789371495e-08	5.1771136930450088e-11
41	5.2082790806480650e-05	2.1699772125819349e-09	6.3555522522701153e-11
81	1.3020799424757656e-05	1.3563108416964369e-10	9.1418843050643839e-10
161	3.2552062142971511e-06	8.4768329889174568e-12	6.8786485813674277e-10
