N	e_T	e_S	e_G
2	2.9228310482845318e+03	1.0000000000000000e+00	7.1069927720483906e+02
10	7.0867653752402333e+01	1.0000000000000000e+00	1.3321300976863577e+03
20	3.4232037057452442e+02	1.0000000000000000e+00	5.8148791839213992e+01
40	1.8835237819439094e+01	1.0000000000000000e+00	5.6532596479209280e+02
80	1.3437232234982488e+02	1.0000000000000000e+00	1.2780574068774747e+02
160	1.0261029862941257e+03	1.0000000000000000e+00	6.1584096189297907e+02
